Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
11,GE73VR 7RE,1,1.6011210104026858,Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  1TB HDD,79,5,1.1443841699122381,2
7,EliteBook 840,4,-0.713439498130007,Full HD 1920x1080,80,-0.8621763211399812,256GB SSD,53,5,-0.8399241954787204,1
7,15-BS103nv (i5-8250U/6GB/256GB/Radeon,3,0.4087716575222072,Full HD 1920x1080,83,-0.46868569191217196,256GB SSD,6,5,-0.19352071281348393,1
10,Yoga 520-14IKB,0,-0.713439498130007,IPS Panel Full HD / Touchscreen 1920x1080,59,-0.8621763211399812,256GB SSD,53,5,-0.4490755780532285,1
2,ZenBook Flip,0,-1.2044068787278503,Full HD / Touchscreen 1920x1080,83,-0.07519506268436271,256GB SSD,53,5,-1.4111644824852083,2
4,Inspiron 5579,0,0.4087716575222072,Full HD / Touchscreen 1920x1080,106,-0.07519506268436271,256GB SSD,61,5,-0.7196630824247228,1
16,Satellite Pro,3,0.4087716575222072,1366x768,55,-0.8621763211399812,500GB HDD,47,5,0.09209943068976037,0
2,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,3,0.4087716575222072,1366x768,14,-0.8621763211399812,1TB HDD,22,5,-0.013129043232487864,0
0,Aspire A517-51G,3,1.6011210104026858,IPS Panel Full HD 1920x1080,83,-0.8621763211399812,256GB SSD,98,5,1.4450369525472322,1
4,Inspiron 3576,3,0.4087716575222072,Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,6,5,0.13719734808500914,1
10,Legion Y520-15IKBN,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,1.4987674542268743,256GB SSD,76,5,0.6934049959597477,1
0,Aspire A315-31,3,0.4087716575222072,1366x768,37,-0.8621763211399812,1TB HDD,43,5,0.09209943068976037,0
11,GE63VR 7RE,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  1TB HDD,79,5,0.5430786046422508,2
0,Aspire 3,3,0.4087716575222072,1366x768,113,-0.8621763211399812,1TB HDD,44,5,0.09209943068976037,0
4,Inspiron 5577,1,0.4087716575222072,Full HD 1920x1080,102,-0.07519506268436271,128GB SSD +  1TB HDD,75,5,0.783600830750246,1
